series_xml_id,default_code,variant_thickness,variant_color,variant_adhesive_type,variant_base_material,variant_peel_strength,variant_adhesive_std,variant_base_material_std,variant_color_std,variant_fire_rating,variant_holding_power,variant_pe_peel,variant_sus_peel,variant_thickness_std
catalog_tesa_757xx,75715,150 µm,黑色,改性丙烯酸,PETP,12 N/cm,改性丙烯酸,PETP,黑色,none,,,,150 µm
catalog_tesa_757xx,75720,200µm,黑色,改性丙烯酸,PETP,14 N/cm,改性丙烯酸,PETP,黑色,none,,,,200µm
catalog_tesa_757xx,75725,250 µm,黑色,改性丙烯酸,PETP,14 N/cm,改性丙烯酸,PETP,黑色,none,,,,250 µm
catalog_tesa_757xx,75730,300µm,黑色,改性丙烯酸,PETP,14 N/cm,改性丙烯酸,PETP,黑色,none,,,,300µm
catalog_tesa_757xx,75743,200 µm,white,改性丙烯酸,PET,14 N/cm,改性丙烯酸,PET,white,none,,,,200 µm
catalog_tesa_760xx,76010,100 µm,黑色,改性丙烯酸,无,8.5 N/cm,改性丙烯酸,无,黑色,none,,,,100 µm
catalog_tesa_761xx,76115,150 µm,黑色,特殊,PETP,10 N/cm,特殊,PETP,黑色,none,,,,150 µm
catalog_tesa_769xx,76925,250 µm,黑色,特殊,无,12 N/cm,特殊,无,黑色,none,,,,250 µm
catalog_tesa_772xx,77210,1000 µm,灰色,纯丙烯酸,丙烯酸泡棉,10 N/cm,纯丙烯酸,丙烯酸泡棉,灰色,none,,,,1000 µm
catalog_tesa_778xx,77811,1100 µm,灰色,LSE,Acrylic foam,32 N/cm,LSE,Acrylic foam,灰色,none,,,,1100 µm
catalog_tesa_778xx,77815,1500 µm,灰色,LSE,Acrylic foam,36 N/cm,LSE,Acrylic foam,灰色,none,,,,1500 µm
catalog_tesa_885xx,8854,100 µm,半透明,改性丙烯酸,无纺布,8.1 N/cm,改性丙烯酸,无纺布,半透明,none,,,,100 µm
catalog_tesa_886xx,88641,100 µm,半透明,改性丙烯酸,无纺布,9.1 N/cm,改性丙烯酸,无纺布,半透明,none,,,,100 µm
catalog_tesa_886xx,88644,160 µm,半透明,改性丙烯酸,无纺布,7.9 N/cm,改性丙烯酸,无纺布,半透明,none,,,,160 µm
catalog_tesa_886xx,88645,120 µm,半透明,改性丙烯酸,无纺布,9.3 N/cm,改性丙烯酸,无纺布,半透明,none,,,,120 µm
catalog_tesa_886xx,88648,160 µm,translucent,改性丙烯酸,无纺布,9 N/cm,改性丙烯酸,无纺布,translucent,none,,,,160 µm
catalog_tesa_886xx,88656,140 µm,半透明,阻燃丙烯酸,无纺布,8.2 N/cm,阻燃丙烯酸,无纺布,半透明,none,,,,140 µm
catalog_tesa_886xx,88663,150 µm,透明,改性丙烯酸,PET（聚酯）,11.6 N/cm,改性丙烯酸,PET（聚酯）,透明,none,,,,150 µm
catalog_tesa_921xx,92111,1100 µm,黑色,performance polymer foam,无,35 N/cm,performance polymer foam,无,黑色,none,,,,1100 µm
catalog_tesa_320xx,3202/10,,黑色,,,,,,黑色,none,,,,
