param_key,name,spec_category,canonical_name_zh,canonical_name_en,aliases_text,value_type,description,unit,preferred_unit,common_units,selection_options,is_main_field,main_field_name,parse_hint,target_bucket,target_field,scope_hint,section_hints,extraction_priority,llm_enabled,is_note_field,is_method_field,is_numeric_preferred,allow_series_fallback,confidence_rule,sequence,active
adhesion_force,粘着力,,粘着力,,,float,false,gf/25mm,gf/25mm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
peel_180_painted_high_temp,涂装板-高温状态-180度剥离力,,涂装板-高温状态-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
processing_compatibility,加工兼容性,加工性能,Processing Compatibility,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,30,1
surface_resistance,表面电阻,,表面电阻,,,char,false,Ω/sq,Ω/sq,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
rebound_rate,回弹率,,回弹率,,,float,false,%,%,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
foil_peel_strength,剥离力,,foil_peel_strength,,,float,false,N/25mm,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
peel_strength_180,剥离力,,剥离力,,,float,false,N/25mm,N/25mm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
initial_tack,初粘力,,initial_tack,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
temperature_class,耐温等级,,耐温等级,,,selection,false,false,,,105℃ 130℃ 155℃ 180℃ 220℃,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
surface_treatment,表面处理,,表面处理,,,selection,false,false,,,单面硅油 双面硅油 防静电 哑面,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
peel_180_painted_heat_aging,涂装板-热老化后-180度剥离力,,涂装板-热老化后-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
static_shear_70c,70度静态剪切,可靠性,static_shear_70c,,,char,false,hour,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,40,1
density,密度,物理性能,密度,Density,,float,false,g/cm3,kg/m3,"kg/m3,lb/ft3",false,0,,优先存标称 kg/m3 数值，公差写备注。,spec_values,,item,,50,1,0,0,0,0,,50,1
shielding_effectiveness,屏蔽效能,,屏蔽效能,,,float,false,dB,dB,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
temperature_grade,耐温等级,,耐温等级,,,char,false,℃,℃,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
temperature_range,耐温范围,,耐温范围,,,char,false,℃,℃,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
temperature_resistance,耐温,,耐温,,,char,false,℃,℃,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
holding_power,持粘力,,持粘力,,,char,false,h,h,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
flame_class,阻燃等级,,阻燃等级,,,selection,false,false,,,UL94 V-0 UL94 V-1 UL94 HB 无,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
color_tone,颜色,,颜色,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
application_surface,适用表面,,适用表面,,,selection,false,false,,,玻璃 塑胶 金属 涂层面,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
peel_180_painted_warm_water,涂装板-温水浸泡后-180度剥离力,,涂装板-温水浸泡后-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
shelf_life_storage,保质期与储存,包装与储存,shelf_life_storage,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,50,1
adhesive_backing,背胶类型,,背胶类型,,,selection,false,false,,,无背胶 单面背胶 双面背胶,0,,,spec_values,,item,,50,1,0,0,0,0,,60,1
conductive_adhesive_type,导电胶类型,,导电胶类型,,,selection,false,false,,,无胶 单面导电胶 双面导电胶,0,,,spec_values,,item,,50,1,0,0,0,0,,60,1
peel_180_pvc_immediate,PVC板-即时状态-180度剥离力,,PVC板-即时状态-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,60,1
liner_option_sc2,离型膜选项-SC2,离型配置,离型膜选项-SC2,Liner Option SC2,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,60,1
peel_180_pvc_normal,PVC板-常温状态-180度剥离力,,PVC板-常温状态-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,70,1
liner_option_pet,离型膜选项-PET,离型配置,liner_option_pet,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,70,1
peel_180_pvc_high_temp,PVC板-高温状态-180度剥离力,,PVC板-高温状态-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,80,1
pluck_testing,拔脱测试,测试验证,拔脱测试,Pluck Testing,Pluck Testing,char,false,false,,,false,0,,"Pluck Testing, pluck adhesion, typical results",spec_values,,item,,50,1,0,0,0,0,,80,1
peel_180_pvc_heat_aging,PVC板-热老化后-180度剥离力,,PVC板-热老化后-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,90,1
torque_testing,扭矩测试,测试验证,扭矩测试,Torque Testing,Torque Testing,char,false,false,,,false,0,,"Torque Testing, twist resistance, typical results",spec_values,,item,,50,1,0,0,0,0,,90,1
peel_180_pvc_warm_water,PVC板-温水浸泡后-180度剥离力,,PVC板-温水浸泡后-180度剥离力,,,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,100,1
shear_painted_pvc_immediate,涂装板/PVC板-即时状态-剪切强度,,涂装板/PVC板-即时状态-剪切强度,,,float,false,MPa,MPa,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,110,1
shear_painted_pvc_normal,涂装板/PVC板-常温状态-剪切强度,,涂装板/PVC板-常温状态-剪切强度,,,float,false,MPa,MPa,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,120,1
shear_painted_pvc_high_temp,涂装板/PVC板-高温状态-剪切强度,,涂装板/PVC板-高温状态-剪切强度,,,float,false,MPa,MPa,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,130,1
shear_painted_pvc_warm_water,涂装板/PVC板-温水浸泡后-剪切强度,,涂装板/PVC板-温水浸泡后-剪切强度,,,float,false,MPa,MPa,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,140,1
shear_painted_pvc_gasoline,涂装板/PVC板-汽油浸泡后-剪切强度,,涂装板/PVC板-汽油浸泡后-剪切强度,,,float,false,MPa,MPa,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,150,1
shear_painted_pvc_wax_remover,涂装板/PVC板-除蜡剂浸泡后-剪切强度,,涂装板/PVC板-除蜡剂浸泡后-剪切强度,,,float,false,MPa,MPa,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,160,1
liner_material,Liner Material,,liner_material,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
shelf_life,Shelf Life,,保质期,Shelf Life,Shelf Life 保质期 Shelf Life,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_headliner_immediate,180 Peel Headliner Immediate,,180°剥离-顶棚-即刻,180 Peel Headliner Immediate,180°- - 180 Peel Headliner Immediate 180°剥离-顶棚-即刻 180 Peel Headliner Immediate,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_headliner_initial,180 Peel Headliner Initial,,180°剥离-顶棚-初始,180 Peel Headliner Initial,180°- - 180 Peel Headliner Initial 180°剥离-顶棚-初始 180 Peel Headliner Initial,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_headliner_normal,180 Peel Headliner Normal,,180°剥离-顶棚-常态,180 Peel Headliner Normal,180°- - 180 Peel Headliner Normal 180°剥离-顶棚-常态 180 Peel Headliner Normal,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_headliner_high_temp,180 Peel Headliner High Temp,,180°剥离-顶棚-高温,180 Peel Headliner High Temp,180°- - 180 Peel Headliner High Temp 180°剥离-顶棚-高温 180 Peel Headliner High Temp,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_headliner_heat_aging,180 Peel Headliner Heat Aging,,180°剥离-顶棚-热老化,180 Peel Headliner Heat Aging,180°- - 180 Peel Headliner Heat Aging 180°剥离-顶棚-热老化 180 Peel Headliner Heat Aging,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_headliner_humidity_aging,180 Peel Headliner Humidity Aging,,180°剥离-顶棚-湿热老化,180 Peel Headliner Humidity Aging,180°- - 180 Peel Headliner Humidity Aging 180°剥离-顶棚-湿热老化 180 Peel Headliner Humidity Aging,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_painted_panel_initial,180 Peel Painted Panel Initial,,180°剥离-喷涂板-初始,180 Peel Painted Panel Initial,180°- - 180 Peel Painted Panel Initial 180°剥离-喷涂板-初始 180 Peel Painted Panel Initial,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_painted_panel_normal,180 Peel Painted Panel Normal,,180°剥离-喷涂板-常态,180 Peel Painted Panel Normal,180°- - 180 Peel Painted Panel Normal 180°剥离-喷涂板-常态 180 Peel Painted Panel Normal,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_pp_initial,180 Peel PP Initial,,180°剥离-PP-初始,180 Peel PP Initial,180°-PP- 180 Peel PP Initial 180°剥离-PP-初始 180 Peel PP Initial,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_180_pp_normal,180 Peel PP Normal,,180°剥离-PP-常态,180 Peel PP Normal,180°-PP- 180 Peel PP Normal 180°剥离-PP-常态 180 Peel PP Normal,float,false,N/cm,N/cm,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,220,1
peel_strength,剥离力,,剥离力,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,1000,1
structure,结构描述,,structure,,,char,false,false,,,false,0,,,spec_values,,item,,50,1,0,0,0,0,,1001,1
